POI,Lon,Lat,Address
metro,2.163681,41.384514,"Ronda de Sant Antoni, 59, 08011 Barcelona, Spain"
metro,2.16414,41.384844,"Ronda de Sant Antoni, 100, 08011 Barcelona, Spain"
metro,2.163252,41.385015,"Escola Sant Francesc d'Assís, Plaça de la Universitat, 2, 08011 Barcelona, Spain"
metro,2.209904,41.430056,"Carrer d'Alarcón, 62, 08930 Sant Adrià de Besòs, Spain"
metro,2.21027,41.429935,"Carrer de Balmes, 34, 08930 Sant Adrià de Besòs, Spain"
metro,2.209632,41.430299,"Carrer de Balmes, 67, 08930 Sant Adrià de Besòs, Spain"
metro,2.142987,41.424923,"Mercat de Vall d'Hebron, Carrer de Coll i Alentorn, 08035 Barcelona, Spain"
metro,2.142012,41.4251,"Passeig de la Vall d'Hebron, 08035 Barcelona, Spain"
metro,2.18295,41.449264,"Carrer d'Aiguablava, 08033 Barcelona, Spain"
metro,2.165196,41.441671,"García Lorca, Carrer de Federico García Lorca, 08042 Barcelona, Spain"
metro,2.166353,41.441845,"Via Favència, 41-47, 08042 Barcelona, Spain"
metro,2.166078,41.442024,"Carrer d'Antonio Machado, 08042 Barcelona, Spain"
metro,2.169571,41.385366,"Pull & Bear, Carrer de Pelai, 08001 Barcelona, Spain"
metro,2.170725,41.38604,"Hard Rock Cafè, Plaça Catalunya, 21-22, 08002 Barcelona, Spain"
metro,2.170075,41.385531,"La Rambla, 08002 Barcelona, Spain"
metro,2.169714,41.385946,"BitBase ATM, Plaça Catalunya, 1, 08002 Barcelona, Spain"
metro,2.170344,41.386286,"Catalonia Square, Plaça de Catalunya, 08001 Barcelona, Spain"
metro,2.160122,41.396315,"Passeig de Gràcia (lateral Besòs), 08008 Barcelona, Spain"
metro,2.160904,41.395745,"Passeig de Gràcia, 102, 08008 Barcelona, Spain"
metro,2.160499,41.395422,"Passeig de Gràcia, 99, 08008 Barcelona, Spain"
metro,2.159713,41.39611,"Passeig de Gràcia (lateral Llobregat), 08008 Barcelona, Spain"
metro,2.160473,41.395755,"Passeig de Gràcia, 08008 Barcelona, Spain"
metro,2.175556,41.376673,"Carrer del Portal de Santa Madrona, 10, 08002 Barcelona, Spain"
metro,2.175987,41.377112,"Santa Madrona, Carrer del Portal de Santa Madrona, 08002 Barcelona, Spain"
metro,2.176443,41.3772,"Palau Marc, La Rambla, 08002 Barcelona, Spain"
metro,2.176285,41.376817,"La Rambla, 08002 Barcelona, Spain"
metro,2.149829,41.374513,"unnamed road, 08015 Barcelona, Spain"
metro,2.150171,41.374826,"unnamed road, 08015 Barcelona, Spain"
metro,2.150029,41.375363,"Gran Via de les Corts Catalanes (lateral mar), 08015 Barcelona, Spain"
metro,2.14909,41.374291,"unnamed road, 08015 Barcelona, Spain"
metro,2.150301,41.37516,"unnamed road, 08015 Barcelona, Spain"
metro,2.152798,41.402597,"Carrer d'Astúries, 1, 3, 08006 Barcelona, Spain"
metro,2.152815,41.402297,"Carrer Gran de Gràcia, 164, 08012 Barcelona, Spain"
metro,2.130847,41.38397,"Travessera de les Corts, 08028 Barcelona, Spain"
metro,2.130678,41.384233,"Travessera de les Corts, 227, 08028 Barcelona, Spain"
metro,2.131389,41.384545,"Travessera de les Corts, 08028 Barcelona, Spain"
metro,2.149572,41.40611,"Plaça de Lesseps, 30, 08023 Barcelona, Spain"
metro,2.150391,41.406599,"Plaça de Lesseps, 6, 08023 Barcelona, Spain"
metro,2.172794,41.381722,"El Quim De La Boqueria, La Rambla, 91, 08002 Barcelona, Spain"
metro,2.173507,41.380969,"La Rambla, 63, 08002 Barcelona, Spain"
metro,2.17353,41.380666,"La Rambla, 08001 Barcelona, Spain"
metro,2.126495,41.387932,"Maria Cristina, Avinguda Diagonal (lateral mar), 08028 Barcelona, Spain"
metro,2.126135,41.388261,"Avinguda Diagonal, 08028 Barcelona, Spain"
metro,2.127857,41.388357,"Avinguda Diagonal, 08028 Barcelona, Spain"
metro,2.126304,41.388204,"Avinguda Diagonal, 08028 Barcelona, Spain"
metro,2.144554,41.430627,"Passeig de la Vall d'Hebron, 135-141, 08035 Barcelona, Spain"
metro,2.145257,41.43056,"Passeig de la Vall d'Hebron, 08035 Barcelona, Spain"
metro,2.145191,41.430847,"Ronda de Dalt, 08035 Barcelona, Spain"
metro,2.147798,41.434855,"Passeig de la Vall d'Hebron, 08035 Barcelona, Spain"
metro,2.148557,41.435325,"Avinguda de Can Marcet, 08035 Barcelona, Spain"
